#Instrument  Filter  wavelength(A)
#---------  ------   -------------
ACS          CLEAR   6200
ACS          F555W   5346
ACS          F775W   7764
ACS          F625W   6318
ACS          F550M   5580
ACS          F850LP  9445
ACS          F892N   8917
ACS          F606W   5907
ACS          F502N   5022
ACS          F658N   6584
ACS          F475W   4760
ACS          F660N   6602
ACS          F814W   8333
ACS          FR388N  3880
ACS          FR423N  4235
ACS          FR462N  4620
ACS          F435W   4297
ACS          FR656N  6560
ACS          FR716N  7160
ACS          FR782N  7815
ACS          F330W   3354
ACS          F344N   3434
ACS          F220W   2228
ACS          FR914M  9140
ACS          FR853N  8985
ACS          FR931N  9315
ACS          FR459M  4590
ACS          FR647M  6470
ACS          FR1016N 10165
ACS          FR505N  5045
ACS          FR551N  5510
ACS          FR601N  6010
ACS          F115LP  1150
ACS          F125LP  1250
ACS          F140LP  1400
ACS          F150LP  1500
ACS          F165LP  1650
ACS          F122M   1220
ACS          F250W   2710
WFC3         F200LP  4883
WFC3         F300X   2807
WFC3         F350LP  5846
WFC3         F475X   4939
WFC3         F600LP  7444
WFC3         F850LP  9166
WFC3         F218W   2224
WFC3         F225W   2359
WFC3         F275W   2704
WFC3         F336W   3355
WFC3         F390W   3921
WFC3         F438W   4325
WFC3         F475W   4773
WFC3         F555W   5308
WFC3         F606W   5887
WFC3         F625W   6242
WFC3         F775W   7647
WFC3         F814W   8024
WFC3         F390M   3897
WFC3         F410M   4109
WFC3         FQ422M  4219
WFC3         F467M   4683
WFC3         F547M   5447
WFC3         F621M   6219
WFC3         F689M   6876
WFC3         F763M   7612
WFC3         F845M   8436
WFC3         FQ232N  2413
WFC3         FQ243N  2468
WFC3         F280N   2831
WFC3         F343N   3435
WFC3         F373N   3730
WFC3         FQ378N  3792
WFC3         FQ387N  3874
WFC3         F395N   3955
WFC3         FQ436N  4367
WFC3         FQ437N  4371
WFC3         F469N   4688
WFC3         F487N   4871
WFC3         FQ492N  4933
WFC3         F502N   5010
WFC3         FQ508N  5091
WFC3         FQ575N  5758
WFC3         FQ619N  6199
WFC3         F631N   6304
WFC3         FQ634N  6349
WFC3         F645N   6454
WFC3         F656N   6561
WFC3         F657N   6567
WFC3         F658N   6584
WFC3         F665N   6656
WFC3         FQ672N  6716
WFC3         F673N   6766
WFC3         FQ674N  6731
WFC3         F680N   6877
WFC3         FQ727N  7275
WFC3         FQ750N  7503
WFC3         FQ889N  8892
WFC3         FQ906N  9058
WFC3         FQ924N  9248
WFC3         FQ937N  9372
WFC3         F953N   9530
WFC3         F105W   10552
WFC3         F110W   11534
WFC3         F125W   12486
WFC3         F140W   13923
WFC3         F160W   15369
WFC3         F098M   9864
WFC3         F127M   12740
WFC3         F139M   13838
WFC3         F153M   15322
WFC3         F126N   12585
WFC3         F128N   12832
WFC3         F130N   13006
WFC3         F132N   13188
WFC3         F164N   16404
WFC3         F167N   16642
